 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=102.50.146.68,nw_dst=10.0.0.1,tp_src=28284,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=198.44.162.60,nw_dst=10.0.0.1,tp_src=28287,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=222.145.207.70,nw_dst=10.0.0.1,tp_src=28283,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=230.192.241.248,nw_dst=10.0.0.1,tp_src=28285,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=240.6.84.30,nw_dst=10.0.0.1,tp_src=28288,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=50.28.180.80,nw_dst=10.0.0.1,tp_src=28289,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=98.108.92.229,nw_dst=10.0.0.1,tp_src=28290,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.565s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=172.33.9.147,nw_dst=10.0.0.1,tp_src=28291,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.539s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=208.2.130.144,nw_dst=10.0.0.1,tp_src=28292,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.539s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=9.84.95.61,nw_dst=10.0.0.1,tp_src=28294,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.539s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=240.74.168.21,nw_dst=10.0.0.1,tp_src=28295,tp_dst=0 actions=output:1
